Candidate Report,Reference Report,Candidate Nouns,Reference Nouns,Common Nouns,Recall,Precision,F1-Score
Generated_Interview_Questions,자기소개서,3,13,0,0.0,0.0,0.0
Generated_Interview_Questions,이력서,3,23,0,0.0,0.0,0.0
Generated_Interview_Questions,프로젝트 내역,3,17,0,0.0,0.0,0.0
Generated_Interview_Questions,회사 공고,3,17,0,0.0,0.0,0.0
Generated_Interview_Questions,전체 데이터,3,52,0,0.0,0.0,0.0
Generated_Saramin_Questions,자기소개서,4,13,0,0.0,0.0,0.0
Generated_Saramin_Questions,이력서,4,23,0,0.0,0.0,0.0
Generated_Saramin_Questions,프로젝트 내역,4,17,0,0.0,0.0,0.0
Generated_Saramin_Questions,회사 공고,4,17,0,0.0,0.0,0.0
Generated_Saramin_Questions,전체 데이터,4,52,0,0.0,0.0,0.0
Generated_Wanted_Questions,자기소개서,5,13,0,0.0,0.0,0.0
Generated_Wanted_Questions,이력서,5,23,1,0.043478260869565216,0.2,0.07142857142857142
Generated_Wanted_Questions,프로젝트 내역,5,17,0,0.0,0.0,0.0
Generated_Wanted_Questions,회사 공고,5,17,0,0.0,0.0,0.0
Generated_Wanted_Questions,전체 데이터,5,52,1,0.019230769230769232,0.2,0.03508771929824562
