Candidate Report,Reference Report,Candidate Nouns,Reference Nouns,Common Nouns,Recall,Precision,F1-Score
Generated_InterV_Questions,자기소개서,102,33,13,0.3939393939393939,0.12745098039215685,0.1925925925925926
Generated_InterV_Questions,이력서,102,111,44,0.3963963963963964,0.43137254901960786,0.4131455399061033
Generated_InterV_Questions,프로젝트 내역,102,70,22,0.3142857142857143,0.21568627450980393,0.2558139534883721
Generated_InterV_Questions,회사 공고,102,103,25,0.24271844660194175,0.24509803921568626,0.24390243902439024
Generated_InterV_Questions,전체 데이터,102,247,64,0.2591093117408907,0.6274509803921569,0.36676217765042984
Generated_Wanted_Questions,자기소개서,110,33,9,0.2727272727272727,0.08181818181818182,0.1258741258741259
Generated_Wanted_Questions,이력서,110,111,24,0.21621621621621623,0.21818181818181817,0.2171945701357466
Generated_Wanted_Questions,프로젝트 내역,110,70,18,0.2571428571428571,0.16363636363636364,0.2
Generated_Wanted_Questions,회사 공고,110,103,31,0.30097087378640774,0.2818181818181818,0.29107981220657275
Generated_Wanted_Questions,전체 데이터,110,247,49,0.19838056680161945,0.44545454545454544,0.27450980392156865
