Question_ID,Question,Keywords,Keyword_Count,Keywords_Korean,Keywords_English,Keywords_Special
1,"자료구조와 알고리즘 과목에서 가장 어려웠던 부분은 무엇이었으며, 어떻게 극복했는지 설명해주세요.","가장, 과목, 극복, 무엇, 부분, 설명, 알고리즘, 자료구조",8,"가장, 과목, 극복, 무엇, 부분, 설명, 알고리즘, 자료구조",,
2,"이노베이트 솔루션즈에서의 인턴 경험을 말해주세요. 특히, E-commerce API 백엔드 설계 및 개발에 대한 경험을 공유해주시면 좋겠습니다.","API, E-commerce, api, commerce, 개발, 경험, 공유, 대한, 백엔드, 베이트, 설계, 솔루션, 이노, 이노베이트 솔루션즈, 인턴",15,"개발, 경험, 공유, 대한, 백엔드, 베이트, 설계, 솔루션, 이노, 이노베이트 솔루션즈, 인턴","API, E-commerce, api, commerce",
3,"실시간 협업 코딩 도구 개발 프로젝트에서 가장 큰 도전이 무엇이었고, 어떻게 해결했는지 설명해주세요.","가장, 개발, 도구, 도전, 무엇, 설명, 실시간, 코딩, 프로젝트, 해결, 협업",11,"가장, 개발, 도구, 도전, 무엇, 설명, 실시간, 코딩, 프로젝트, 해결, 협업",,
4,AWS Certified Cloud Practitioner 자격증 취득 과정에서 가장 흥미로웠던 부분은 무엇이었나요?,"AWS, aws, certified, cloud, practitioner, 가장, 과정, 무엇, 부분, 자격증, 취득",11,"가장, 과정, 무엇, 부분, 자격증, 취득","AWS, aws, certified, cloud, practitioner",
5,"자신이 개발한 코드나 프로젝트 중 가장 자랑스러운 것은 무엇이며, 그 이유는 무엇인가요?","가장, 개발, 무엇, 이유, 자신, 코드, 프로젝트",7,"가장, 개발, 무엇, 이유, 자신, 코드, 프로젝트",,
6,Spring과 Django 중 어떤 프레임워크를 선호하나요? 왜 그렇게 선호하는지 이유를 설명해주세요.,"Django, Spring, django, spring, 선호, 설명, 이유, 프레임워크, 하나요",9,"선호, 설명, 이유, 프레임워크, 하나요","Django, Spring, django, spring",
7,RESTful API를 설계하고 개발할 때 가장 주의해야 하는 점은 무엇이라고 생각하나요?,"API, RESTful API, api, restful, 가장, 개발, 무엇, 생각, 설계, 주의, 하나요",11,"가장, 개발, 무엇, 생각, 설계, 주의, 하나요","API, RESTful API, api, restful",
8,"본인이 경험한 가장 어려운 버그는 무엇이었으며, 어떻게 해결했나요?","가장, 경험, 무엇, 버그, 본인, 해결",6,"가장, 경험, 무엇, 버그, 본인, 해결",,
9,프로젝트에서 Git을 활용한 협업 경험에 대해 설명해주세요. 특히 복잡한 브랜치 관리나 충돌 해결 경험을 중점적으로 말씀해주세요.,"Git, git, 경험, 관리, 대해, 말씀, 브랜치, 설명, 중점, 충돌, 프로젝트, 해결, 협업, 활용",14,"경험, 관리, 대해, 말씀, 브랜치, 설명, 중점, 충돌, 프로젝트, 해결, 협업, 활용","Git, git",
10,본인이 작성한 코드를 리뷰 받았을 때 가장 고마웠던 피드백은 무엇이었나요?,"가장, 리뷰, 무엇, 본인, 작성, 코드, 피드백",7,"가장, 리뷰, 무엇, 본인, 작성, 코드, 피드백",,
11,"특정 문제를 해결하기 위해 어떤 알고리즘을 선택하고 사용했는지, 그리고 그 이유는 무엇인지 자세하게 설명해주세요.","무엇, 문제, 사용, 선택, 설명, 알고리즘, 위해, 이유, 특정, 해결",10,"무엇, 문제, 사용, 선택, 설명, 알고리즘, 위해, 이유, 특정, 해결",,
